id,filename
SV-001,002_Meziane_2025.pdf
SV-002,007_DeLong_2025.pdf
SV-003,011_Cheng_2024.pdf
SV-004,020_Cotovio_2023.pdf
SV-005,030_Keber_2024.pdf
SV-006,056_Portisch_2025.pdf
SV-007,070_Wang_2025.pdf
SV-008,076_Kursuncu_2020.pdf
SV-009,1079_Hong_2025.pdf
SV-010,119_Tiddi_2022.pdf
SV-011,1483_Peng_2024.pdf
SV-012,156_Zhang_2024.pdf
SV-013,264_Barlaug_2021.pdf
SV-014,265_Li_2021.pdf
SV-015,358_Koutras_2021.pdf
SV-016,368_Belle_2020.pdf
SV-017,459_Breit_2023.pdf
SV-018,466_Diaz-de-Arcaya_2025.pdf
